,month,day,number,amount
0,5,1,100101,13.1
1,5,1,100102,1.6
2,5,1,100103,2.4
3,5,1,100104,2.4
4,5,1,100105,1.9
5,5,1,100202,1.2
6,5,1,100203,1.2
7,5,1,100401,1.0
8,5,1,100402,1.0
9,5,1,100404,1.0
10,5,1,100502,1.0
11,5,1,100503,1.0
12,5,1,100504,1.0
13,5,1,100601,1.0
14,5,1,100604,1.0
15,5,1,100703,1.0
16,5,1,100705,1.0
17,5,1,109903,1.1
18,5,1,110104,1.1
19,5,1,110106,1.1
20,5,1,110107,1.4
21,5,1,110201,1.6
22,5,1,110203,1.4
23,5,1,110204,1.3
24,5,1,110301,1.6
25,5,1,110302,3.6
26,5,1,110304,3.6
27,5,1,110402,3.6
28,5,1,120101,26.2
29,5,1,120102,31.2
30,5,1,120103,3.7
31,5,1,120104,36.9
32,5,1,120105,9.4
33,5,1,120106,6.9
34,5,1,120107,3.5
35,5,1,120109,2.3
36,5,1,120201,5.2
37,5,1,120204,3.5
38,5,1,120205,5.2
39,5,1,120301,3.0
40,5,1,120302,4.1
41,5,1,120303,5.0
42,5,1,120304,4.6
43,5,1,120305,3.5
44,5,1,120306,4.8
45,5,1,120307,7.7
46,5,1,120309,4.6
47,5,1,120310,4.6
48,5,1,120313,10.5
49,5,1,120314,4.1
50,5,1,120501,3.4
51,5,1,120502,3.4
52,5,1,130101,4.5
53,5,1,130102,1.0
54,5,1,130201,1.0
55,5,1,130603,6.3
56,5,1,130801,2.9
57,5,1,130803,2.5
58,5,1,130805,2.5
59,5,1,140206,1.9
60,5,1,140301,1.9
61,5,1,150101,1.3
62,5,1,150102,1.0
63,5,1,150103,1.2
64,5,1,150104,1.3
65,5,1,150105,1.7
66,5,1,150199,1.0
67,5,1,150202,1.1
68,5,1,150203,1.1
69,5,1,150301,1.0
70,5,1,150302,1.0
71,5,1,150303,1.0
72,5,1,150304,1.0
73,5,1,150305,1.2
74,5,1,150404,1.2
75,5,1,150501,2.1
76,5,1,150502,1.8
77,5,1,150503,1.9
78,5,1,150504,3.8
79,5,1,150505,1.5
80,5,1,150506,1.5
81,5,1,150507,1.5
82,5,1,150508,1.6
83,5,1,150509,1.6
84,5,1,150599,1.6
