month,day,number,amount
1,1,120109,2
1,1,201401,1
1,1,150502,3
1,1,150305,1
1,1,301802,11
1,1,120104,23
1,1,200101,2
1,1,130803,2
1,1,220302,2
1,1,220111,3
1,1,152101,9
1,1,130101,2
1,1,201111,2
1,1,100404,1
1,1,311902,1
1,1,341206,2
1,1,220110,1
1,1,220607,1
1,1,201302,1
1,1,151805,2
1,1,201102,2
1,1,300801,2
1,1,200701,2
1,1,120303,6
1,1,120102,17
1,1,300802,1
1,1,140301,1
1,1,301004,1
1,1,200202,1
1,1,200603,2
1,1,200608,2
1,1,311704,1
1,1,130201,2
1,1,311907,1
1,1,220901,1
1,1,220906,1
1,1,100104,1
1,1,100101,2
1,1,300701,2
1,1,210503,2
1,1,331901,1
1,1,220102,4
1,1,120106,3
1,1,200705,1
1,1,120302,9
1,1,120309,5
1,1,200706,3
1,1,150506,1
1,1,220701,1
1,1,120101,12
1,1,130801,4
1,1,301606,2
1,1,301106,1
1,1,120201,3
1,1,120307,3
1,1,200902,1
1,1,200105,3
1,1,151503,2
1,1,220502,1
1,1,220401,2
1,1,110107,1
1,1,120301,8
1,1,332102,2
1,1,151806,2
1,1,120105,5
1,1,120501,1
1,1,200102,1
1,1,201301,1
1,1,150503,4
1,1,210501,2
1,1,300604,1
1,1,301608,3
1,1,151801,1
1,1,311809,1
1,1,220703,1
1,1,120103,2
1,1,301804,1
1,1,200201,2
1,1,301603,5
1,1,220201,2
1,1,300602,2
1,1,201306,2
1,1,220802,1
1,1,301301,1
1,1,230705,1
1,1,150505,1
1,1,151803,1
1,1,210111,2
1,1,322701,2
1,1,200505,1
1,1,230703,2
1,1,220601,3
1,1,301801,2
1,1,220403,1
1,1,220699,1
1,1,220101,3
1,1,200808,1
1,1,220513,3
1,1,220103,2
1,1,201104,2
1,1,201303,1
1,1,120306,2
1,1,220902,1
1,1,200709,2
1,1,230604,1
1,1,200904,1
1,1,200807,1
1,1,210107,2
1,1,200805,2
1,1,201404,3
1,1,220801,2
1,1,230401,1
1,1,230299,1
1,1,110302,1
1,1,300601,1
1,1,231601,1
1,1,120204,1
1,1,220108,1
1,1,150802,1
1,1,200607,1
1,1,200602,1
1,1,152104,1
1,1,150103,1
1,1,200809,3
1,1,220299,2
1,1,300206,1
1,1,220208,3
1,1,230399,1
1,1,230502,1
1,1,210301,1
1,1,230901,1
1,1,201106,1
1,1,301303,1
1,1,120205,1
1,1,231201,1
1,1,220405,1
1,1,300202,1
1,2,120313,6
1,2,201401,3
1,2,210402,4
1,2,301603,2
1,2,100101,5
1,2,120106,9
1,2,151701,4
1,2,220303,1
1,2,120103,2
1,2,130101,4
1,2,301608,5
1,2,231404,2
1,2,200301,5
1,2,150199,1
1,2,220801,5
1,2,120104,19
1,2,200201,3
1,2,210501,1
1,2,220302,5
1,2,220405,2
1,2,120201,4
1,2,220111,7
1,2,220301,3
1,2,311801,1
1,2,200706,4
1,2,301301,2
1,2,200902,3
1,2,150801,1
1,2,220201,2
1,2,221202,1
1,2,220513,2
1,2,220399,1
1,2,120309,3
1,2,201306,1
1,2,220802,2
1,2,221003,1
1,2,120101,14
1,2,120102,19
1,2,200105,1
1,2,301101,1
1,2,201101,1
1,2,201111,2
1,2,120105,2
1,2,120204,1
1,2,150105,1
1,2,220605,2
1,2,220514,3
1,2,151503,2
1,2,120301,4
1,2,301801,1
1,2,301802,3
1,2,150502,2
1,2,120307,5
1,2,220110,2
1,2,332102,1
1,2,152101,6
1,2,200101,4
1,2,210106,1
1,2,300704,1
1,2,200903,2
1,2,220515,2
1,2,110302,1
1,2,201103,3
1,2,200204,1
1,2,300602,2
1,2,200708,2
1,2,300803,1
1,2,120306,1
1,2,200806,1
1,2,230101,1
1,2,220905,2
1,2,120303,5
1,2,120302,3
1,2,301102,1
1,2,200501,2
1,2,120501,1
1,2,100402,3
1,2,200702,1
1,2,220499,1
1,2,200607,2
1,2,151813,4
1,2,220702,1
1,2,220298,1
1,2,220305,2
1,2,201107,1
1,2,300701,1
1,2,201008,1
1,2,301703,1
1,2,230901,1
1,2,150505,1
1,2,220203,2
1,2,301602,2
1,2,151501,1
1,2,301606,1
1,2,200805,1
1,2,332201,1
1,2,201501,2
1,2,151807,2
1,2,301303,1
1,2,220606,1
1,2,311604,1
1,2,230401,2
1,2,100104,1
1,2,230304,4
1,2,220699,1
1,2,301609,1
1,2,151809,1
1,2,300802,1
1,2,220103,2
1,2,220202,1
1,2,151099,1
1,2,210109,1
1,2,220204,1
1,2,220106,1
1,2,140301,1
1,2,230399,1
1,2,200203,1
1,2,201105,1
1,2,220299,1
1,2,220703,1
1,2,220607,2
1,2,120109,1
1,2,220799,3
1,2,332104,1
1,2,150503,1
1,2,230704,1
1,2,201505,1
1,2,150504,1
1,2,201109,2
1,2,150506,1
1,2,230604,1
1,2,150501,1
1,2,220104,1
1,2,201304,1
1,2,210705,1
1,2,220403,1
1,2,130801,1
1,2,201004,1
1,2,220402,1
1,2,231701,1
1,2,220401,1
1,2,200803,1
1,2,201104,1
1,2,130803,1
1,2,343201,1
1,2,200605,1
1,2,200502,1
1,2,220602,1
1,2,200704,1
1,2,151803,1
1,2,220107,1
1,2,231601,1
1,2,220999,1
1,2,220199,1
1,2,151299,1
1,2,230703,1
1,2,300601,1
1,2,201102,1
1,3,301801,3
1,3,120101,9
1,3,120102,10
1,3,120106,7
1,3,130803,3
1,3,220107,1
1,3,221004,3
1,3,200202,1
1,3,220513,5
1,3,120104,18
1,3,230101,1
1,3,220304,1
1,3,152101,7
1,3,220799,3
1,3,230201,1
1,3,120205,3
1,3,331906,1
1,3,120307,3
1,3,220302,9
1,3,220902,1
1,3,220106,5
1,3,100101,4
1,3,231404,1
1,3,201107,1
1,3,120309,3
1,3,120302,5
1,3,301606,2
1,3,200806,1
1,3,100402,2
1,3,220303,2
1,3,221101,2
1,3,301802,3
1,3,301603,6
1,3,220108,1
1,3,150504,3
1,3,220607,3
1,3,311816,1
1,3,220110,2
1,3,130801,1
1,3,220399,4
1,3,120107,3
1,3,200803,1
1,3,120301,4
1,3,201306,4
1,3,151099,1
1,3,151302,1
1,3,301608,1
1,3,200907,1
1,3,230102,1
1,3,201404,1
1,3,230203,1
1,3,300702,1
1,3,100104,2
1,3,120303,2
1,3,220111,4
1,3,200602,1
1,3,201405,2
1,3,201111,2
1,3,221202,1
1,3,230304,1
1,3,150101,2
1,3,220208,4
1,3,151199,1
1,3,220709,1
1,3,151701,3
1,3,201105,1
1,3,120109,1
1,3,300601,1
1,3,130201,3
1,3,201101,2
1,3,220710,1
1,3,200709,1
1,3,200805,2
1,3,100103,1
1,3,151804,1
1,3,120313,1
1,3,220801,4
1,3,301805,1
1,3,200501,2
1,3,201402,1
1,3,120501,1
1,3,220401,1
1,3,201109,1
1,3,120201,6
1,3,201504,1
1,3,220601,2
1,3,220999,1
1,3,201501,1
1,3,120105,3
1,3,321399,1
1,3,220506,1
1,3,152103,1
1,3,220205,4
1,3,220502,2
1,3,151805,1
1,3,210503,2
1,3,301804,1
1,3,200802,1
1,3,230599,1
1,3,221001,1
1,3,100404,1
1,3,311701,1
1,3,201199,1
1,3,220501,1
1,3,300801,1
1,3,200601,3
1,3,151902,1
1,3,210599,1
1,3,150801,1
1,3,330301,1
1,3,130102,1
1,3,220901,1
1,3,201403,1
1,3,220503,1
1,3,220599,1
1,3,300704,1
1,3,200902,3
1,3,200599,1
1,3,151301,1
1,3,220405,1
1,3,230901,1
1,3,301301,1
1,3,201002,1
1,3,150503,2
1,3,200505,1
1,3,150199,1
1,3,151802,1
1,3,230701,1
1,3,220708,1
1,3,220899,1
1,3,120103,1
1,3,200809,1
1,3,200603,1
1,3,200906,1
1,4,200805,2
1,4,220799,3
1,4,220111,9
1,4,220107,5
1,4,210202,2
1,4,151806,1
1,4,220503,2
1,4,120303,1
1,4,120102,29
1,4,120313,4
1,4,120106,7
1,4,152101,2
1,4,130101,2
1,4,220102,5
1,4,130803,1
1,4,201501,1
1,4,120306,2
1,4,300801,1
1,4,201403,2
1,4,201401,5
1,4,221202,4
1,4,151701,6
1,4,201404,4
1,4,200803,3
1,4,220202,4
1,4,300605,1
1,4,331999,1
1,4,120105,6
1,4,301301,2
1,4,300602,1
1,4,220206,1
1,4,200601,5
1,4,120104,12
1,4,301608,2
1,4,120201,7
1,4,200902,4
1,4,220606,1
1,4,210501,1
1,4,220302,3
1,4,120309,6
1,4,220502,1
1,4,151704,1
1,4,120204,3
1,4,151804,1
1,4,300604,2
1,4,151201,1
1,4,210301,1
1,4,220599,2
1,4,301603,5
1,4,332099,1
1,4,220608,1
1,4,220499,1
1,4,230501,1
1,4,201306,1
1,4,120101,14
1,4,220204,1
1,4,200501,3
1,4,220513,6
1,4,220607,1
1,4,200607,3
1,4,230604,1
1,4,230704,3
1,4,230304,6
1,4,220401,4
1,4,220199,2
1,4,120501,3
1,4,100101,4
1,4,120301,4
1,4,120302,1
1,4,220201,2
1,4,120205,2
1,4,150504,2
1,4,220106,1
1,4,220205,3
1,4,120307,3
1,4,151299,1
1,4,210402,2
1,4,230703,2
1,4,100402,1
1,4,220801,3
1,4,220899,1
1,4,120109,3
1,4,231007,2
1,4,220601,1
1,4,151503,1
1,4,201111,2
1,4,220405,3
1,4,200301,2
1,4,220699,2
1,4,201302,1
1,4,201303,1
1,4,230301,1
1,4,300101,1
1,4,220702,1
1,4,301101,1
1,4,200709,1
1,4,230101,1
1,4,331908,1
1,4,220603,1
1,4,220605,2
1,4,301801,1
1,4,210303,1
1,4,220512,1
1,4,301802,1
1,4,200809,2
1,4,200905,1
1,4,200605,1
1,4,150103,1
1,4,221003,1
1,4,150304,1
1,4,311801,1
1,4,220902,1
1,4,210499,1
1,4,151399,1
1,4,201301,1
1,4,200807,3
1,4,200705,2
1,4,151899,1
1,4,220802,1
1,4,150802,1
1,4,200801,1
1,4,220208,2
1,4,220507,1
1,4,151813,1
1,4,130801,1
1,4,200299,1
1,4,220703,1
1,4,220110,1
1,4,220710,1
1,4,220299,1
1,4,220112,1
1,4,220303,1
1,4,200104,1
1,4,201107,1
1,4,221101,1
1,4,340202,1
1,4,301805,1
1,4,150801,1
1,4,300601,1
1,4,200101,1
1,4,332201,1
1,4,200606,1
1,4,332102,1
1,4,200802,1
1,4,100404,1
1,4,100104,1
1,4,200503,1
1,4,230502,1
1,4,150101,1
1,5,120104,43
1,5,300206,2
1,5,130801,5
1,5,120101,21
1,5,201302,3
1,5,150305,3
1,5,220199,1
1,5,220999,1
1,5,220608,1
1,5,200701,3
1,5,301802,4
1,5,100101,7
1,5,151701,3
1,5,120102,31
1,5,340802,1
1,5,120105,6
1,5,300203,1
1,5,220514,1
1,5,120201,8
1,5,301303,3
1,5,301609,1
1,5,301801,5
1,5,201002,1
1,5,201103,2
1,5,220801,2
1,5,120204,4
1,5,120103,6
1,5,130101,3
1,5,200807,1
1,5,120301,9
1,5,150503,3
1,5,200903,1
1,5,201306,1
1,5,301606,3
1,5,100404,1
1,5,220699,1
